i,j,x_upper,y_upper,x_lower,y_lower
0,3,3381.6,1196.86,3383.4,1189.95
0,3,3383.68,1197.14,3385.35,1190.72
0,3,3385.67,1197.4,3387.22,1191.47
0,3,3387.59,1197.66,3389.02,1192.18
0,3,3389.43,1197.9,3390.74,1192.87
0,3,3391.19,1198.13,3392.39,1193.53
0,3,3392.86,1198.34,3393.95,1194.16
0,3,3394.45,1198.54,3395.44,1194.76
0,3,3395.95,1198.73,3396.84,1195.32
0,3,3397.36,1198.91,3398.15,1195.86
0,3,3398.68,1199.07,3399.39,1196.36
0,3,3399.91,1199.22,3400.53,1196.83
0,3,3401.04,1199.36,3401.59,1197.26
0,3,3402.08,1199.48,3402.56,1197.66
0,3,3403.03,1199.6,3403.44,1198.02
0,3,3403.87,1199.7,3404.23,1198.35
0,3,3404.62,1199.79,3404.92,1198.64
0,3,3405.28,1199.86,3405.53,1198.89
0,3,3405.83,1199.93,3406.04,1199.1
0,3,3406.28,1199.98,3406.46,1199.27
0,3,3406.63,1200.02,3406.79,1199.41
0,3,3406.89,1200.05,3407.03,1199.51
0,3,3407.04,1200.07,3407.17,1199.57
0,3,3407.09,1200.07,3407.21,1199.59
0,4,3712.78,1153.2,3712.78,1153.2
0,4,3712.73,1153.77,3712.93,1152.66
0,4,3712.78,1154.34,3713.17,1152.14
0,4,3712.93,1154.92,3713.52,1151.65
0,4,3713.19,1155.51,3713.96,1151.18
0,4,3713.54,1156.11,3714.5,1150.74
0,4,3713.99,1156.72,3715.13,1150.33
0,4,3714.54,1157.33,3715.86,1149.94
0,4,3715.19,1157.96,3716.68,1149.58
0,4,3715.93,1158.59,3717.6,1149.24
0,4,3716.78,1159.23,3718.61,1148.94
0,4,3717.71,1159.87,3719.72,1148.66
0,4,3718.75,1160.52,3720.91,1148.41
0,4,3719.88,1161.17,3722.2,1148.19
0,4,3721.1,1161.82,3723.57,1148
0,4,3722.41,1162.48,3725.03,1147.84
0,4,3723.82,1163.14,3726.58,1147.71
0,4,3725.31,1163.79,3728.21,1147.61
0,4,3726.9,1164.45,3729.92,1147.54
0,4,3728.56,1165.11,3731.71,1147.51
0,4,3730.32,1165.76,3733.58,1147.5
0,4,3732.15,1166.41,3735.53,1147.52
0,4,3734.07,1167.06,3737.55,1147.58
